+-------+-----+-----+-----+-----+-----+--------+----------------------------------+-------+-------+--------+-------+-------+-------+-------+--------+------------+------------+------------+------------+
| COUNT | 1XX | 2XX | 3XX | 4XX | 5XX | METHOD |               URI                |  MIN  |  MAX  |  SUM   |  AVG  |  P1   |  P50  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  | SUM(BODY)  | AVG(BODY)  |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /api/user/reservations/12        | 0.860 | 0.860 |  0.860 | 0.860 | 0.860 | 0.860 | 0.860 |  0.000 |    427.000 |    427.000 |    427.000 |    427.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /js/app.764be8dc.js              | 0.000 | 0.000 |  0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |  55412.000 |  55412.000 |  55412.000 |  55412.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /index.html                      | 0.000 | 0.000 |  0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |    724.000 |    724.000 |    724.000 |    724.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | POST   | /api/user/reservations/15/cancel | 1.080 | 1.080 |  1.080 | 1.080 | 1.080 | 1.080 | 1.080 |  0.000 |     48.000 |     48.000 |     48.000 |     48.000 |
|     1 |   0 |   0 |   0 |   1 |   0 | POST   | /api/user/reservations/11/cancel | 0.290 | 0.290 |  0.290 | 0.290 | 0.290 | 0.290 | 0.290 |  0.000 |     52.000 |     52.000 |     52.000 |     52.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | POST   | /api/user/reservations/10/cancel | 1.200 | 1.200 |  1.200 | 1.200 | 1.200 | 1.200 | 1.200 |  0.000 |     48.000 |     48.000 |     48.000 |     48.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /api/user/reservations/17        | 0.620 | 0.620 |  0.620 | 0.620 | 0.620 | 0.620 | 0.620 |  0.000 |    446.000 |    446.000 |    446.000 |    446.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /js/chunk-vendors.2b84179f.js    | 0.015 | 0.015 |  0.015 | 0.015 | 0.015 | 0.015 | 0.015 |  0.000 | 438711.000 | 438711.000 | 438711.000 | 438711.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /result                          | 0.030 | 0.030 |  0.030 | 0.030 | 0.030 | 0.030 | 0.030 |  0.000 |   4136.000 |   4136.000 |   4136.000 |   4136.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /img/logo.b0efca9a.svg           | 0.000 | 0.000 |  0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |   2505.000 |   2505.000 |   2505.000 |   2505.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | POST   | /api/user/reservations/20/cancel | 1.080 | 1.080 |  1.080 | 1.080 | 1.080 | 1.080 | 1.080 |  0.000 |     48.000 |     48.000 |     48.000 |     48.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | POST   | /api/user/reservations/1/cancel  | 1.040 | 1.040 |  1.040 | 1.040 | 1.040 | 1.040 | 1.040 |  0.000 |     48.000 |     48.000 |     48.000 |     48.000 |
|     1 |   0 |   0 |   0 |   1 |   0 | POST   | /api/user/reservations/21/cancel | 0.060 | 0.060 |  0.060 | 0.060 | 0.060 | 0.060 | 0.060 |  0.000 |     52.000 |     52.000 |     52.000 |     52.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /api/user/reservations/22        | 0.620 | 0.620 |  0.620 | 0.620 | 0.620 | 0.620 | 0.620 |  0.000 |    427.000 |    427.000 |    427.000 |    427.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /api/user/reservations/7         | 0.640 | 0.640 |  0.640 | 0.640 | 0.640 | 0.640 | 0.640 |  0.000 |    427.000 |    427.000 |    427.000 |    427.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /favicon.ico                     | 0.000 | 0.000 |  0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |   4286.000 |   4286.000 |   4286.000 |   4286.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /css/app.dfe4b820.css            | 0.000 | 0.000 |  0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |  13950.000 |  13950.000 |  13950.000 |  13950.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | POST   | /api/user/reservations/25/cancel | 1.100 | 1.100 |  1.100 | 1.100 | 1.100 | 1.100 | 1.100 |  0.000 |     48.000 |     48.000 |     48.000 |     48.000 |
|     1 |   0 |   0 |   0 |   1 |   0 | POST   | /api/user/reservations/6/cancel  | 0.080 | 0.080 |  0.080 | 0.080 | 0.080 | 0.080 | 0.080 |  0.000 |     52.000 |     52.000 |     52.000 |     52.000 |
|     1 |   0 |   0 |   0 |   1 |   0 | POST   | /api/user/reservations/26/cancel | 0.060 | 0.060 |  0.060 | 0.060 | 0.060 | 0.060 | 0.060 |  0.000 |     52.000 |     52.000 |     52.000 |     52.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /api/user/reservations/27        | 0.660 | 0.660 |  0.660 | 0.660 | 0.660 | 0.660 | 0.660 |  0.000 |    427.000 |    427.000 |    427.000 |    427.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | POST   | /api/user/reservations/5/cancel  | 1.090 | 1.090 |  1.090 | 1.090 | 1.090 | 1.090 | 1.090 |  0.000 |     48.000 |     48.000 |     48.000 |     48.000 |
|     1 |   0 |   1 |   0 |   0 |   0 | GET    | /api/user/reservations/3         | 0.490 | 0.490 |  0.490 | 0.490 | 0.490 | 0.490 | 0.490 |  0.000 |    428.000 |    428.000 |    428.000 |    428.000 |
+-------+-----+-----+-----+-----+-----+--------+----------------------------------+-------+-------+--------+-------+-------+-------+-------+--------+------------+------------+------------+------------+
